##*************************************
#Arabic Stop word list for morphology analysis and information retrival
#Version        : 0.9
#Generated at   : 2023/02/02:08:53 
#Author         : Taha Zerrouki
#Web            : http://arabicstopwords.sf.net
#Source         : http://github.com/linuxscout/arabicstopwords
#*************************************
word	vocalized	type	category	original	procletic	stem	encletic	tags
فلأنهم	فَلِأَنّهُمْ	حرف	إن و أخواتها	أن	فل-	أن	-هم	معطوف:عطف:جر:مضاف:لايجر
فلأنهن	فَلِأَنّهُنَّ	حرف	إن و أخواتها	أن	فل-	أن	-هن	معطوف:عطف:جر:مضاف:لايجر
فلأني	فَلِأَنِّي	حرف	إن و أخواتها	أن	فل-	أن	-ي	معطوف:عطف:جر:مضاف
كأن	كَأَنّ	حرف	إن و أخواتها	أن	ك-	أن	-	جر
كأنك	كَأَنّكَ	حرف	إن و أخواتها	أن	ك-	أن	-ك	جر:مضاف
كأنكما	كَأَنّكُمَا	حرف	إن و أخواتها	أن	ك-	أن	-كما	جر:مضاف
كأنكم	كَأَنّكُمْ	حرف	إن و أخواتها	أن	ك-	أن	-كم	جر:مضاف
كأنكن	كَأَنّكُنَّ	حرف	إن و أخواتها	أن	ك-	أن	-كن	جر:مضاف
كأنك	كَأَنّكِ	حرف	إن و أخواتها	أن	ك-	أن	-ك	جر:مضاف
كأننا	كَأَنّنَا	حرف	إن و أخواتها	أن	ك-	أن	-نا	جر:مضاف
كأنها	كَأَنّهَا	حرف	إن و أخواتها	أن	ك-	أن	-ها	جر:مضاف
كأنه	كَأَنّهُ	حرف	إن و أخواتها	أن	ك-	أن	-ه	جر:مضاف:لايجر:T
كأنهما	كَأَنّهُمَا	حرف	إن و أخواتها	أن	ك-	أن	-هما	جر:مضاف:لايجر
كأنهم	كَأَنّهُمْ	حرف	إن و أخواتها	أن	ك-	أن	-هم	جر:مضاف:لايجر
كأنهن	كَأَنّهُنَّ	حرف	إن و أخواتها	أن	ك-	أن	-هن	جر:مضاف:لايجر
كأني	كَأَنِّي	حرف	إن و أخواتها	أن	ك-	أن	-ي	جر:مضاف
لأن	لِأَنّ	حرف	إن و أخواتها	أن	ل-	أن	-	جر
لأنك	لِأَنّكَ	حرف	إن و أخواتها	أن	ل-	أن	-ك	جر:مضاف
لأنكما	لِأَنّكُمَا	حرف	إن و أخواتها	أن	ل-	أن	-كما	جر:مضاف
لأنكم	لِأَنّكُمْ	حرف	إن و أخواتها	أن	ل-	أن	-كم	جر:مضاف
لأنكن	لِأَنّكُنَّ	حرف	إن و أخواتها	أن	ل-	أن	-كن	جر:مضاف
لأنك	لِأَنّكِ	حرف	إن و أخواتها	أن	ل-	أن	-ك	جر:مضاف
لأننا	لِأَنّنَا	حرف	إن و أخواتها	أن	ل-	أن	-نا	جر:مضاف
لأنها	لِأَنّهَا	حرف	إن و أخواتها	أن	ل-	أن	-ها	جر:مضاف
لأنه	لِأَنّهُ	حرف	إن و أخواتها	أن	ل-	أن	-ه	جر:مضاف:لايجر:T
لأنهما	لِأَنّهُمَا	حرف	إن و أخواتها	أن	ل-	أن	-هما	جر:مضاف:لايجر
لأنهم	لِأَنّهُمْ	حرف	إن و أخواتها	أن	ل-	أن	-هم	جر:مضاف:لايجر
لأنهن	لِأَنّهُنَّ	حرف	إن و أخواتها	أن	ل-	أن	-هن	جر:مضاف:لايجر
لأني	لِأَنِّي	حرف	إن و أخواتها	أن	ل-	أن	-ي	جر:مضاف
وأن	وَأَنّ	حرف	إن و أخواتها	أن	و-	أن	-	معطوف:عطف
وأنك	وَأَنّكَ	حرف	إن و أخواتها	أن	و-	أن	-ك	معطوف:عطف:مضاف
وأنكما	وَأَنّكُمَا	حرف	إن و أخواتها	أن	و-	أن	-كما	معطوف:عطف:مضاف
وأنكم	وَأَنّكُمْ	حرف	إن و أخواتها	أن	و-	أن	-كم	معطوف:عطف:مضاف
وأنكن	وَأَنّكُنَّ	حرف	إن و أخواتها	أن	و-	أن	-كن	معطوف:عطف:مضاف
وأنك	وَأَنّكِ	حرف	إن و أخواتها	أن	و-	أن	-ك	معطوف:عطف:مضاف
وأننا	وَأَنّنَا	حرف	إن و أخواتها	أن	و-	أن	-نا	معطوف:عطف:مضاف
وأنها	وَأَنّهَا	حرف	إن و أخواتها	أن	و-	أن	-ها	معطوف:عطف:مضاف
وأنه	وَأَنّهُ	حرف	إن و أخواتها	أن	و-	أن	-ه	معطوف:عطف:مضاف:لايجر:T
وأنهما	وَأَنّهُمَا	حرف	إن و أخواتها	أن	و-	أن	-هما	معطوف:عطف:مضاف:لايجر
وأنهم	وَأَنّهُمْ	حرف	إن و أخواتها	أن	و-	أن	-هم	معطوف:عطف:مضاف:لايجر
وأنهن	وَأَنّهُنَّ	حرف	إن و أخواتها	أن	و-	أن	-هن	معطوف:عطف:مضاف:لايجر
وأني	وَأَنِّي	حرف	إن و أخواتها	أن	و-	أن	-ي	معطوف:عطف:مضاف
وبأن	وَبِأَنّ	حرف	إن و أخواتها	أن	وب-	أن	-	جر:معطوف:عطف
وبأنك	وَبِأَنّكَ	حرف	إن و أخواتها	أن	وب-	أن	-ك	جر:معطوف:عطف:مضاف
وبأنكما	وَبِأَنّكُمَا	حرف	إن و أخواتها	أن	وب-	أن	-كما	جر:معطوف:عطف:مضاف
وبأنكم	وَبِأَنّكُمْ	حرف	إن و أخواتها	أن	وب-	أن	-كم	جر:معطوف:عطف:مضاف
وبأنكن	وَبِأَنّكُنَّ	حرف	إن و أخواتها	أن	وب-	أن	-كن	جر:معطوف:عطف:مضاف
وبأنك	وَبِأَنّكِ	حرف	إن و أخواتها	أن	وب-	أن	-ك	جر:معطوف:عطف:مضاف
وبأننا	وَبِأَنّنَا	حرف	إن و أخواتها	أن	وب-	أن	-نا	جر:معطوف:عطف:مضاف
وبأنها	وَبِأَنّهَا	حرف	إن و أخواتها	أن	وب-	أن	-ها	جر:معطوف:عطف:مضاف
وبأنه	وَبِأَنّهُ	حرف	إن و أخواتها	أن	وب-	أن	-ه	جر:معطوف:عطف:مضاف:لايجر:T
وبأنهما	وَبِأَنّهُمَا	حرف	إن و أخواتها	أن	وب-	أن	-هما	جر:معطوف:عطف:مضاف:لايجر
وبأنهم	وَبِأَنّهُمْ	حرف	إن و أخواتها	أن	وب-	أن	-هم	جر:معطوف:عطف:مضاف:لايجر
وبأنهن	وَبِأَنّهُنَّ	حرف	إن و أخواتها	أن	وب-	أن	-هن	جر:معطوف:عطف:مضاف:لايجر
وبأني	وَبِأَنِّي	حرف	إن و أخواتها	أن	وب-	أن	-ي	جر:معطوف:عطف:مضاف
وكأن	وَكَأَنّ	حرف	إن و أخواتها	أن	وك-	أن	-	جر:معطوف:عطف
وكأنك	وَكَأَنّكَ	حرف	إن و أخواتها	أن	وك-	أن	-ك	جر:معطوف:عطف:مضاف
وكأنكما	وَكَأَنّكُمَا	حرف	إن و أخواتها	أن	وك-	أن	-كما	جر:معطوف:عطف:مضاف
وكأنكم	وَكَأَنّكُمْ	حرف	إن و أخواتها	أن	وك-	أن	-كم	جر:معطوف:عطف:مضاف
وكأنكن	وَكَأَنّكُنَّ	حرف	إن و أخواتها	أن	وك-	أن	-كن	جر:معطوف:عطف:مضاف
وكأنك	وَكَأَنّكِ	حرف	إن و أخواتها	أن	وك-	أن	-ك	جر:معطوف:عطف:مضاف
وكأننا	وَكَأَنّنَا	حرف	إن و أخواتها	أن	وك-	أن	-نا	جر:معطوف:عطف:مضاف
وكأنها	وَكَأَنّهَا	حرف	إن و أخواتها	أن	وك-	أن	-ها	جر:معطوف:عطف:مضاف
وكأنه	وَكَأَنّهُ	حرف	إن و أخواتها	أن	وك-	أن	-ه	جر:معطوف:عطف:مضاف:لايجر:T
وكأنهما	وَكَأَنّهُمَا	حرف	إن و أخواتها	أن	وك-	أن	-هما	جر:معطوف:عطف:مضاف:لايجر
وكأنهم	وَكَأَنّهُمْ	حرف	إن و أخواتها	أن	وك-	أن	-هم	جر:معطوف:عطف:مضاف:لايجر
وكأنهن	وَكَأَنّهُنَّ	حرف	إن و أخواتها	أن	وك-	أن	-هن	جر:معطوف:عطف:مضاف:لايجر
وكأني	وَكَأَنِّي	حرف	إن و أخواتها	أن	وك-	أن	-ي	جر:معطوف:عطف:مضاف
ولأن	وَلِأَنّ	حرف	إن و أخواتها	أن	ول-	أن	-	جر:معطوف:عطف
